Type of fish,Age of fish (days),Tempreture (Celsius),Length (cm)
1,14,25,620
-1,69,29,625
0,83,27,850
0,28,25,1315
1,41,25,2120
-1,153,31,1315
0,55,25,2600
0,55,31,490
1,69,25,3110
1,83,25,3535
-1,69,27,610
-1,55,27,530
0,97,25,3935
0,69,31,590
1,111,25,4465
1,125,25,4530
1,139,25,4570
1,153,25,4600
0,83,31,750
0,111,31,1200
1,14,27,625
1,28,27,1215
0,153,25,1415
1,41,27,2110
1,55,27,2805
0,69,27,3255
0,83,27,4015
-1,55,29,615
1,97,27,4315
-1,69,29,645
0,111,27,4495
1,125,27,4535
1,139,27,4600
0,153,27,4600
-1,69,25,605
-1,41,31,420
0,14,29,590
1,28,29,1305
1,41,29,2140
0,55,29,2890
1,69,29,3920
1,28,31,1208
-1,55,25,490
1,83,29,3920
0,97,29,4515
1,28,31,1215
0,111,29,4520
1,125,29,4525
0,139,29,4565
1,153,29,4566
-1,111,25,1140
-1,55,27,605
-1,153,27,1402
0,14,31,590
1,28,31,1205
-1,55,29,615
0,41,31,1915
1,55,31,2140
1,69,31,2710
1,83,31,3020
-1,153,29,1450
1,97,31,3030
-1,111,27,1380
-1,41,27,500
1,111,31,3040
-1,41,25,445
-1,111,29,1430
1,125,31,3180
1,139,31,3257
1,153,31,3214
